,Season,Sprinkler,Rain,Wet,Slippery
274,Winter,0,0,0,0
275,Spring,0,1,1,1
276,Autumn,1,1,1,1
277,Spring,0,1,1,1
278,Summer,1,1,1,1
279,Spring,1,1,1,1
280,Winter,0,1,1,1
281,Autumn,0,1,1,1
282,Winter,0,0,0,0
283,Spring,0,1,1,1
284,Autumn,0,1,1,1
285,Autumn,1,0,1,1
286,Spring,0,1,1,0
287,Summer,1,1,1,1
288,Winter,0,0,0,1
289,Spring,0,1,1,1
290,Spring,0,0,0,0
291,Spring,1,0,1,0
292,Summer,0,0,0,0
293,Autumn,0,1,1,1
294,Winter,0,0,0,0
295,Summer,0,0,0,0
296,Spring,0,0,0,0
297,Spring,0,0,0,0
298,Winter,0,1,1,0
299,Spring,0,0,0,0
300,Summer,1,1,1,1
301,Autumn,0,1,1,1
302,Spring,0,0,0,0
303,Spring,1,1,1,1
304,Winter,0,1,1,1
305,Autumn,0,0,0,0
306,Winter,0,0,0,0
307,Autumn,0,1,1,1
308,Winter,0,0,0,0
309,Winter,0,1,1,1
310,Winter,0,0,0,1
311,Autumn,0,0,0,0
312,Winter,0,0,0,0
313,Autumn,0,0,0,0
314,Winter,0,0,0,0
315,Winter,0,0,0,0
316,Summer,1,0,1,1
317,Winter,0,1,1,1
318,Autumn,1,1,1,0
319,Spring,1,0,1,0
320,Winter,0,1,1,1
321,Autumn,0,1,1,1
322,Spring,1,0,1,1
323,Spring,0,1,1,1
324,Spring,1,0,1,1
325,Winter,0,1,1,1
326,Winter,0,0,0,0
327,Spring,1,1,1,1
328,Winter,0,0,0,0
329,Summer,1,1,1,1
330,Autumn,0,0,0,0
331,Autumn,0,1,1,1
332,Winter,0,0,0,0
333,Winter,0,0,0,0
334,Summer,0,0,0,0
335,Winter,0,0,0,0
336,Winter,0,0,0,0
337,Summer,1,0,1,1
338,Winter,0,0,0,1
339,Spring,0,0,0,0
340,Autumn,1,1,1,0
341,Autumn,0,1,1,1
342,Autumn,0,0,0,0
343,Spring,1,1,1,1
344,Autumn,0,1,1,1
345,Autumn,0,1,1,1
346,Summer,0,0,0,0
347,Spring,0,1,1,1
348,Spring,0,0,0,0
349,Spring,0,0,0,0
350,Spring,0,1,1,0
351,Autumn,0,1,1,1
352,Summer,1,0,1,1
353,Winter,0,0,0,0
354,Winter,0,0,0,0
355,Summer,0,0,0,0
356,Spring,0,0,0,0
357,Autumn,0,0,0,0
358,Autumn,0,1,1,1
359,Summer,0,0,0,1
360,Autumn,0,0,0,0
361,Summer,1,0,1,1
362,Autumn,1,1,1,1
363,Summer,1,0,1,1
364,Autumn,0,1,1,1
365,Spring,0,0,0,0
366,Spring,0,0,0,0
367,Autumn,0,0,0,0
368,Autumn,0,0,0,0
369,Spring,1,0,1,1
370,Summer,1,0,1,1
371,Autumn,0,0,0,0
372,Spring,0,0,0,0
373,Autumn,1,0,1,1
374,Winter,0,0,0,0
375,Spring,1,0,1,1
376,Winter,0,0,0,0
377,Summer,1,0,1,1
378,Spring,0,0,0,0
379,Spring,0,1,1,0
380,Winter,0,0,0,0
381,Winter,0,0,0,0
382,Autumn,0,1,1,1
383,Winter,0,1,1,1
384,Spring,0,1,1,1
385,Winter,0,0,0,0
386,Autumn,0,1,1,1
387,Winter,0,1,1,1
388,Summer,1,0,1,1
389,Autumn,0,1,1,1
390,Spring,0,0,0,0
391,Winter,0,0,0,0
392,Spring,0,0,0,0
393,Spring,0,0,0,0
394,Spring,0,1,1,1
395,Autumn,0,1,1,1
396,Autumn,1,1,1,1
397,Winter,0,0,0,1
398,Winter,0,0,0,1
399,Spring,0,0,0,0
400,Autumn,0,1,1,1
401,Summer,0,0,0,1
402,Winter,0,0,0,0
403,Summer,1,0,1,1
404,Summer,1,0,1,1
405,Spring,0,0,0,0
406,Summer,1,0,1,1
407,Autumn,0,1,1,1
408,Summer,0,0,0,0
409,Autumn,1,1,1,1
410,Autumn,0,1,1,1
411,Summer,1,0,1,0
412,Spring,1,0,1,1
413,Summer,1,0,1,1
414,Autumn,0,1,1,1
415,Winter,0,0,0,0
416,Autumn,0,1,1,1
417,Spring,1,1,1,1
418,Spring,0,1,1,1
419,Spring,0,1,1,0
420,Winter,0,1,1,1
421,Autumn,0,0,0,0
422,Spring,0,0,0,0
423,Winter,0,1,1,1
424,Winter,0,1,1,1
425,Winter,0,0,0,0
426,Summer,1,1,1,1
427,Winter,0,0,0,0
428,Spring,0,0,0,0
429,Autumn,0,1,1,1
430,Autumn,0,1,1,1
431,Winter,0,0,0,0
432,Spring,1,0,1,1
433,Summer,1,0,1,1
434,Summer,1,0,1,1
435,Autumn,1,0,1,1
436,Summer,0,0,0,0
437,Winter,0,0,0,0
438,Autumn,1,0,1,0
439,Spring,0,1,1,1
440,Summer,1,0,1,1
441,Summer,0,0,0,0
442,Spring,1,0,1,1
443,Summer,1,1,1,1
444,Winter,0,0,0,0
445,Winter,0,0,0,0
446,Summer,0,0,0,0
447,Autumn,0,0,0,0
448,Winter,0,0,0,0
449,Autumn,0,1,1,1
450,Spring,0,0,0,0
451,Autumn,0,1,1,1
452,Spring,0,1,1,1
453,Autumn,0,0,0,0
454,Winter,0,1,1,0
455,Spring,0,0,0,0
456,Autumn,1,1,1,1
457,Autumn,0,1,1,1
458,Spring,1,0,1,1
459,Winter,0,0,0,0
460,Autumn,0,1,1,1
461,Spring,1,0,1,1
462,Winter,0,0,0,0
463,Autumn,0,1,1,1
464,Winter,0,0,0,0
465,Winter,0,0,0,0
466,Spring,0,1,1,1
467,Summer,1,0,1,1
468,Autumn,0,1,1,1
469,Summer,1,1,1,1
470,Spring,0,1,1,1
471,Winter,0,0,0,0
472,Autumn,0,1,1,1
473,Autumn,0,1,1,1
474,Autumn,0,1,1,0
475,Spring,0,0,0,0
476,Summer,1,1,1,1
477,Autumn,1,1,1,1
478,Winter,0,0,0,0
479,Summer,1,0,1,1
480,Summer,0,0,0,0
481,Summer,1,0,1,1
482,Summer,0,1,1,1
483,Spring,1,0,1,1
484,Summer,0,1,1,0
485,Autumn,0,1,1,1
486,Summer,1,1,1,0
487,Spring,0,1,1,1
488,Spring,0,0,0,0
489,Autumn,0,1,1,1
490,Autumn,1,1,1,1
491,Winter,0,1,1,1
492,Summer,0,0,0,0
493,Spring,0,0,0,0
494,Spring,0,0,0,0
495,Spring,0,0,0,0
496,Autumn,1,0,1,1
497,Winter,0,0,0,0
498,Autumn,0,1,1,1
499,Spring,1,1,1,1
500,Summer,1,0,1,1
501,Winter,0,1,1,1
502,Summer,1,1,1,1
503,Summer,1,0,1,0
504,Autumn,1,1,1,1
505,Summer,1,0,1,1
506,Summer,1,0,1,1
507,Spring,0,0,0,0
508,Summer,1,0,1,1
509,Autumn,0,0,0,0
510,Spring,1,0,1,1
511,Winter,0,0,0,0
512,Spring,0,1,1,1
513,Spring,1,0,1,1
514,Autumn,1,1,1,0
515,Winter,0,1,1,1
516,Summer,1,1,1,1
517,Summer,1,0,1,1
518,Summer,0,0,0,0
519,Spring,1,1,1,1
520,Spring,1,0,1,1
521,Spring,0,0,0,0
522,Autumn,1,1,1,1
523,Summer,1,0,1,1
524,Autumn,0,0,0,0
525,Winter,0,1,1,1
526,Winter,0,1,1,1
527,Autumn,0,0,0,0
528,Spring,0,0,0,0
529,Summer,0,1,1,1
530,Winter,0,1,1,1
531,Spring,1,1,1,1
532,Winter,0,0,0,0
533,Summer,0,0,0,0
534,Autumn,1,1,1,1
535,Autumn,1,0,1,1
536,Spring,1,1,1,1
537,Autumn,0,1,1,1
538,Winter,0,0,0,0
539,Autumn,0,0,0,0
540,Autumn,0,0,0,0
541,Autumn,0,1,1,1
542,Spring,1,1,1,1
543,Summer,0,0,0,0
544,Autumn,0,1,1,1
545,Winter,0,1,1,0
546,Spring,1,0,1,1
547,Spring,0,1,1,1
548,Summer,1,0,1,1
549,Summer,1,0,1,1
550,Summer,1,0,1,1
551,Spring,1,1,1,1
552,Autumn,1,1,1,1
553,Winter,0,0,0,0
554,Autumn,1,0,1,1
555,Autumn,1,1,1,1
556,Spring,0,1,1,1
557,Autumn,0,1,1,1
558,Spring,1,1,1,1
559,Winter,0,0,0,0
560,Winter,0,0,0,0
561,Winter,0,0,0,0
562,Winter,0,0,0,1
563,Winter,0,1,1,1
564,Spring,0,0,0,0
565,Autumn,1,1,1,1
566,Winter,0,0,0,0
567,Summer,0,0,0,0
568,Autumn,0,1,1,1
569,Autumn,1,1,1,1
570,Spring,0,0,0,0
571,Autumn,0,1,1,1
572,Summer,0,1,1,1
573,Autumn,0,1,1,1
574,Spring,1,0,1,1
575,Autumn,1,1,1,0
576,Winter,0,0,0,0
577,Spring,1,1,1,1
578,Summer,1,0,1,1
579,Spring,1,0,1,1
580,Autumn,1,1,1,1
581,Autumn,1,0,1,1
582,Autumn,0,1,1,1
583,Summer,1,0,1,1
584,Autumn,0,1,1,1
585,Autumn,0,1,1,1
586,Winter,0,1,1,1
587,Summer,1,1,1,1
588,Spring,0,1,1,1
589,Winter,0,1,1,1
590,Summer,1,0,1,1
591,Winter,0,1,1,1
592,Summer,1,0,1,1
593,Winter,0,0,0,0
594,Autumn,0,1,1,1
595,Autumn,1,1,1,1
596,Spring,1,1,1,1
597,Autumn,0,0,0,0
598,Spring,0,0,0,0
599,Spring,0,1,1,1
600,Spring,0,0,0,0
601,Autumn,0,1,1,1
602,Winter,0,0,0,0
603,Autumn,0,0,0,0
604,Spring,0,1,1,0
605,Spring,1,0,1,1
606,Winter,0,0,0,0
607,Spring,0,1,1,1
608,Summer,1,0,1,1
609,Autumn,0,1,1,1
610,Summer,1,0,1,1
611,Autumn,1,1,1,1
612,Spring,1,0,1,1
613,Summer,1,0,1,1
614,Winter,0,1,1,1
615,Summer,0,0,0,0
616,Summer,1,0,1,1
617,Summer,1,0,1,1
618,Summer,1,0,1,1
619,Autumn,0,1,1,1
620,Autumn,1,1,1,1
621,Spring,0,0,0,1
622,Summer,1,1,1,1
623,Spring,1,1,1,1
624,Autumn,0,1,1,1
625,Winter,0,0,0,0
626,Autumn,0,1,1,1
627,Summer,0,0,0,1
628,Summer,0,0,0,0
629,Autumn,0,1,1,1
630,Spring,1,1,1,1
631,Spring,1,0,1,1
632,Summer,0,0,0,0
633,Winter,0,0,0,0
634,Spring,0,1,1,1
635,Summer,1,0,1,1
636,Summer,1,0,1,0
637,Spring,0,1,1,0
638,Spring,1,0,1,0
639,Spring,1,1,1,1
640,Autumn,0,0,0,0
641,Winter,0,1,1,1
642,Autumn,0,1,1,1
643,Spring,0,1,1,1
644,Winter,0,0,0,0
645,Autumn,0,1,1,1
646,Spring,1,0,1,1
647,Autumn,0,0,0,0
648,Spring,0,1,1,1
649,Spring,1,1,1,1
650,Spring,0,1,1,0
651,Summer,1,0,1,1
652,Winter,0,1,1,1
653,Spring,0,1,1,1
654,Autumn,0,1,1,1
655,Autumn,0,1,1,1
656,Spring,0,0,0,0
657,Autumn,1,1,1,1
658,Autumn,0,1,1,1
659,Winter,0,0,0,0
660,Summer,1,0,1,1
661,Spring,0,1,1,1
662,Winter,0,0,0,0
663,Spring,0,0,0,0
664,Spring,0,1,1,1
665,Winter,0,0,0,0
666,Spring,1,1,1,1
667,Winter,0,0,0,0
668,Winter,0,1,1,1
669,Winter,0,0,0,0
670,Spring,1,0,1,1
671,Spring,0,1,1,1
672,Autumn,0,1,1,0
673,Winter,0,0,0,0
674,Summer,1,0,1,1
675,Winter,0,0,0,0
676,Summer,0,0,0,0
677,Summer,0,0,0,0
678,Spring,0,0,0,0
679,Winter,0,1,1,1
680,Spring,1,0,1,0
681,Winter,0,0,0,0
682,Autumn,0,0,0,0
683,Autumn,0,1,1,1
684,Autumn,0,1,1,1
685,Autumn,0,1,1,1
686,Autumn,1,1,1,1
687,Autumn,1,0,1,1
688,Autumn,0,1,1,1
689,Autumn,1,0,1,1
690,Spring,0,0,0,0
691,Autumn,1,1,1,1
692,Summer,1,0,1,0
693,Autumn,0,1,1,1
694,Summer,1,0,1,1
695,Autumn,0,1,1,0
696,Autumn,1,1,1,1
697,Winter,0,0,0,0
698,Summer,1,1,1,1
699,Spring,0,0,0,0
700,Spring,0,0,0,0
701,Summer,1,1,1,1
702,Summer,1,0,1,1
703,Winter,0,0,0,0
704,Autumn,0,1,1,1
705,Summer,1,0,1,1
706,Summer,1,0,1,0
707,Autumn,0,1,1,1
708,Summer,1,0,1,1
709,Winter,0,0,0,0
710,Winter,0,0,0,1
711,Summer,1,0,1,1
712,Autumn,1,0,1,1
713,Winter,0,0,0,0
714,Autumn,0,1,1,1
715,Summer,1,0,1,1
716,Winter,0,0,0,0
717,Winter,0,0,0,0
718,Winter,0,0,0,0
719,Autumn,1,1,1,1
720,Summer,1,0,1,1
721,Winter,0,0,0,0
722,Winter,0,1,1,1
723,Spring,1,1,1,1
724,Spring,0,0,0,0
725,Summer,1,0,1,1
726,Spring,1,1,1,1
727,Summer,1,0,1,1
728,Summer,0,0,0,0
729,Autumn,0,1,1,1
730,Autumn,0,0,0,0
731,Winter,0,1,1,1
732,Autumn,1,1,1,1
733,Spring,0,0,0,1
734,Spring,0,1,1,0
735,Autumn,0,1,1,1
736,Spring,0,1,1,1
737,Autumn,0,1,1,1
738,Winter,0,1,1,1
739,Winter,0,0,0,0
740,Summer,1,0,1,1
741,Autumn,0,1,1,1
742,Spring,0,1,1,1
743,Summer,1,0,1,1
744,Spring,0,1,1,1
745,Winter,0,0,0,0
746,Spring,1,1,1,1
747,Autumn,0,1,1,1
748,Summer,0,0,0,0
749,Winter,0,0,0,0
750,Winter,0,0,0,0
751,Autumn,0,0,0,0
752,Winter,0,0,0,1
753,Spring,0,0,0,0
754,Autumn,1,1,1,1
755,Spring,0,1,1,1
756,Summer,0,0,0,0
757,Winter,0,1,1,0
758,Winter,0,0,0,0
759,Winter,0,0,0,0
760,Spring,1,0,1,1
761,Winter,0,1,1,1
762,Spring,1,0,1,1
763,Winter,0,0,0,0
764,Spring,1,0,1,1
765,Spring,1,1,1,1
766,Autumn,1,1,1,1
767,Autumn,0,0,0,0
768,Winter,0,0,0,1
769,Spring,1,0,1,1
770,Autumn,0,1,1,1
771,Autumn,1,1,1,1
772,Summer,1,0,1,1
773,Winter,0,0,0,0
774,Winter,0,0,0,0
775,Summer,1,0,1,1
776,Autumn,0,1,1,1
777,Spring,1,1,1,1
778,Spring,1,1,1,1
779,Summer,1,0,1,1
780,Autumn,1,1,1,1
781,Autumn,0,1,1,0
782,Autumn,1,1,1,1
783,Summer,1,0,1,1
784,Summer,1,0,1,1
785,Autumn,0,0,0,0
786,Spring,0,0,0,0
787,Autumn,0,1,1,1
788,Winter,0,0,0,0
789,Summer,0,1,1,1
790,Autumn,0,1,1,1
791,Winter,0,0,0,0
792,Summer,1,0,1,1
793,Summer,0,0,0,0
794,Summer,1,0,1,1
795,Winter,0,0,0,0
796,Winter,0,0,0,0
797,Autumn,1,0,1,1
798,Winter,0,0,0,0
799,Winter,0,0,0,0
800,Spring,0,1,1,1
801,Spring,1,0,1,0
802,Winter,0,0,0,0
803,Winter,0,0,0,0
804,Summer,1,1,1,1
805,Winter,0,0,0,0
806,Winter,0,0,0,0
807,Winter,0,0,0,1
808,Autumn,0,1,1,1
809,Spring,0,0,0,0
810,Autumn,0,1,1,1
811,Autumn,0,1,1,1
812,Winter,0,1,1,1
813,Summer,0,0,0,0
814,Summer,0,0,0,0
815,Summer,1,1,1,0
816,Winter,0,1,1,1
817,Winter,0,1,1,1
818,Autumn,0,1,1,1
819,Autumn,1,0,1,1
820,Summer,1,0,1,1
821,Winter,0,1,1,1
822,Winter,0,0,0,0
823,Autumn,0,0,0,0
824,Autumn,0,0,0,1
825,Summer,0,0,0,0
826,Winter,0,0,0,0
827,Autumn,1,1,1,1
828,Spring,0,1,1,1
829,Spring,1,1,1,1
830,Spring,0,1,1,1
831,Summer,1,0,1,1
832,Winter,0,0,0,0
833,Spring,0,1,1,1
834,Autumn,0,1,1,1
835,Spring,0,0,0,0
836,Spring,0,0,0,0
837,Summer,1,1,1,1
838,Autumn,1,1,1,0
839,Winter,0,0,0,0
840,Winter,0,0,0,1
841,Spring,1,0,1,1
842,Autumn,0,1,1,1
843,Spring,1,0,1,1
844,Autumn,1,1,1,1
845,Spring,1,0,1,1
846,Summer,1,0,1,1
847,Spring,1,1,1,1
848,Spring,1,0,1,1
849,Summer,1,0,1,0
850,Autumn,0,0,0,0
851,Autumn,0,1,1,1
852,Autumn,0,1,1,1
853,Summer,0,0,0,0
854,Spring,0,0,0,1
855,Winter,0,0,0,1
856,Spring,1,1,1,1
857,Autumn,1,1,1,1
858,Autumn,0,1,1,1
859,Summer,0,0,0,0
860,Winter,0,1,1,1
861,Winter,0,0,0,0
862,Summer,1,1,1,1
863,Spring,0,0,0,0
864,Spring,0,1,1,1
865,Spring,1,0,1,1
866,Summer,0,0,0,0
867,Spring,0,0,0,1
868,Summer,1,1,1,1
869,Spring,1,0,1,1
870,Winter,0,1,1,1
871,Winter,0,1,1,0
872,Autumn,0,1,1,1
873,Summer,0,0,0,0
874,Autumn,0,1,1,1
875,Winter,0,0,0,0
876,Autumn,1,0,1,1
877,Spring,1,0,1,1
878,Summer,1,1,1,1
879,Summer,1,0,1,1
880,Autumn,0,1,1,1
881,Winter,0,0,0,0
882,Autumn,0,1,1,1
883,Spring,0,0,0,0
884,Summer,1,0,1,1
885,Autumn,1,1,1,1
886,Spring,1,0,1,0
887,Summer,0,0,0,0
888,Autumn,0,1,1,1
889,Summer,1,0,1,1
890,Spring,1,0,1,1
891,Winter,0,0,0,0
892,Spring,1,0,1,0
893,Winter,0,0,0,0
894,Summer,0,0,0,0
895,Summer,1,0,1,1
896,Winter,0,0,0,0
897,Summer,1,1,1,1
898,Summer,0,0,0,0
899,Summer,0,0,0,0
900,Spring,0,1,1,1
901,Autumn,0,1,1,1
902,Summer,1,0,1,1
903,Winter,0,0,0,0
904,Autumn,1,1,1,1
905,Spring,0,1,1,1
906,Summer,0,0,0,0
907,Summer,1,0,1,1
908,Autumn,0,1,1,1
909,Winter,0,0,0,0
910,Summer,1,0,1,1
911,Summer,1,0,1,1
912,Autumn,0,1,1,1
913,Autumn,0,1,1,1
914,Spring,1,0,1,1
915,Winter,0,0,0,0
916,Autumn,0,1,1,1
917,Winter,0,0,0,0
918,Winter,0,0,0,0
919,Winter,0,1,1,1
920,Autumn,1,0,1,1
921,Winter,0,1,1,1
922,Spring,0,0,0,0
923,Autumn,0,0,0,0
924,Spring,1,1,1,1
925,Summer,0,0,0,0
926,Summer,1,0,1,1
927,Spring,1,1,1,0
928,Summer,1,0,1,1
929,Autumn,0,1,1,1
930,Spring,0,0,0,0
931,Winter,0,1,1,1
932,Spring,0,0,0,0
933,Spring,0,0,0,1
934,Spring,1,0,1,0
935,Summer,0,0,0,0
936,Spring,0,1,1,1
937,Spring,0,1,1,1
938,Summer,1,1,1,1
939,Spring,0,1,1,1
940,Summer,0,0,0,0
941,Summer,1,0,1,1
942,Winter,0,1,1,1
943,Autumn,1,0,1,1
944,Winter,0,0,0,0
945,Autumn,0,0,0,0
946,Spring,0,1,1,1
947,Autumn,1,1,1,0
948,Summer,1,0,1,1
949,Spring,0,0,0,0
950,Summer,1,0,1,1
951,Summer,0,0,0,0
952,Spring,0,1,1,1
953,Autumn,0,1,1,1
954,Winter,0,0,0,1
955,Autumn,1,1,1,1
956,Summer,1,1,1,1
957,Summer,1,0,1,1
958,Spring,0,0,0,0
959,Spring,0,0,0,0
960,Summer,1,0,1,1
961,Autumn,0,1,1,1
962,Autumn,1,1,1,1
963,Summer,1,1,1,1
964,Winter,0,1,1,1
965,Winter,0,1,1,0
966,Winter,0,0,0,0
967,Winter,0,0,0,0
968,Summer,1,0,1,1
969,Winter,0,1,1,1
970,Winter,0,0,0,0
971,Spring,1,0,1,1
972,Winter,0,1,1,1
973,Summer,0,0,0,0
974,Autumn,0,1,1,0
975,Winter,0,0,0,0
976,Summer,0,0,0,1
977,Winter,0,1,1,1
