,Season,Sprinkler,Rain,Wet,Slippery
74,Spring,0,1,1,1
75,Summer,1,0,1,1
76,Spring,1,0,1,1
77,Summer,1,1,1,1
78,Spring,0,1,1,1
79,Spring,1,0,1,1
80,Spring,0,1,1,1
81,Spring,0,0,0,0
82,Summer,0,0,0,0
83,Summer,0,0,0,0
84,Spring,0,0,0,0
85,Summer,0,0,0,0
86,Spring,1,1,1,1
87,Spring,1,1,1,1
88,Summer,1,0,1,1
89,Summer,0,0,0,0
90,Summer,1,0,1,1
91,Spring,0,1,1,1
92,Spring,0,1,1,1
93,Summer,0,1,1,1
94,Spring,0,0,0,0
95,Spring,1,0,1,1
96,Summer,1,1,1,1
97,Spring,0,0,0,0
98,Summer,1,0,1,1
99,Spring,0,1,1,1
100,Spring,0,0,0,0
101,Spring,0,0,0,0
102,Summer,1,0,1,1
103,Summer,0,0,0,0
104,Summer,1,0,1,1
105,Summer,1,0,1,1
106,Summer,1,0,1,1
107,Summer,1,0,1,1
108,Spring,1,1,1,1
109,Spring,1,1,1,1
110,Summer,1,0,1,1
111,Summer,1,0,1,1
112,Spring,1,0,1,1
113,Summer,1,0,1,1
114,Summer,0,1,1,1
115,Spring,1,0,1,1
116,Summer,1,0,1,1
117,Summer,1,0,1,1
118,Summer,0,0,0,0
119,Spring,1,1,1,1
120,Spring,0,0,0,0
121,Summer,1,0,1,1
122,Spring,1,1,1,1
123,Spring,1,0,1,1
124,Spring,1,0,1,1
125,Summer,0,0,0,0
126,Spring,0,1,1,1
127,Summer,0,0,0,0
128,Spring,1,1,1,1
129,Summer,1,1,1,1
130,Spring,1,1,1,1
131,Spring,0,0,0,0
132,Spring,0,0,0,0
133,Spring,0,1,1,1
134,Spring,0,0,0,0
135,Spring,0,0,0,0
136,Spring,1,1,1,1
137,Spring,1,0,1,1
138,Summer,1,0,1,1
139,Summer,1,0,1,1
140,Summer,1,0,1,1
141,Summer,0,1,1,1
142,Summer,0,0,0,0
143,Spring,0,1,1,1
144,Spring,1,1,1,1
145,Summer,1,1,1,1
146,Spring,0,0,0,0
147,Spring,1,1,1,1
148,Summer,1,0,1,1
149,Summer,1,1,1,1
150,Summer,1,1,1,1
151,Summer,0,0,0,0
152,Summer,1,0,1,1
153,Summer,0,0,0,0
154,Summer,1,0,1,1
155,Summer,0,0,0,0
156,Spring,0,1,1,1
157,Spring,0,0,0,0
158,Spring,1,1,1,1
159,Summer,1,0,1,1
160,Summer,1,0,1,1
161,Spring,0,0,0,0
162,Summer,0,0,0,0
163,Spring,1,0,1,1
164,Summer,1,0,1,1
165,Summer,1,0,1,1
166,Summer,1,1,1,1
167,Summer,0,0,0,0
168,Spring,0,0,0,0
169,Summer,1,1,1,1
170,Summer,1,0,1,1
171,Summer,1,1,1,1
172,Spring,1,0,1,1
173,Spring,0,1,1,1
174,Summer,1,0,1,1
175,Summer,0,0,0,0
176,Summer,1,0,1,1
177,Summer,1,0,1,1
178,Summer,1,1,1,1
179,Summer,1,1,1,1
180,Summer,1,0,1,1
181,Spring,1,1,1,1
182,Spring,1,1,1,1
183,Spring,0,1,1,1
184,Summer,1,0,1,1
185,Spring,0,0,0,0
186,Summer,0,1,1,1
187,Summer,1,0,1,1
188,Spring,0,0,0,0
189,Summer,1,0,1,1
190,Summer,1,0,1,1
191,Summer,1,0,1,1
192,Summer,1,0,1,1
193,Summer,1,0,1,1
194,Summer,0,0,0,0
195,Summer,1,0,1,1
196,Spring,0,0,0,0
197,Summer,1,0,1,1
198,Summer,1,1,1,1
199,Spring,1,0,1,1
200,Spring,1,1,1,1
201,Spring,1,1,1,1
202,Spring,0,0,0,0
203,Summer,0,0,0,0
204,Summer,0,0,0,0
205,Summer,1,0,1,1
206,Spring,0,0,0,0
207,Summer,1,0,1,1
208,Summer,1,0,1,1
209,Summer,0,1,1,1
210,Summer,1,0,1,1
211,Spring,1,0,1,1
212,Summer,1,1,1,1
213,Spring,1,1,1,1
214,Summer,0,1,1,1
215,Summer,1,0,1,1
216,Summer,1,0,1,1
217,Spring,0,0,0,0
218,Spring,0,0,0,0
219,Summer,1,0,1,1
220,Summer,1,0,1,1
221,Summer,1,0,1,1
222,Summer,1,1,1,1
223,Summer,0,0,0,0
224,Summer,0,0,0,0
225,Summer,1,0,1,1
226,Summer,1,0,1,1
227,Summer,0,1,1,1
228,Summer,0,0,0,0
229,Spring,1,0,1,1
230,Spring,0,1,1,1
231,Summer,1,0,1,1
232,Spring,1,0,1,1
233,Summer,1,0,1,1
234,Spring,0,1,1,1
235,Summer,1,0,1,1
236,Spring,0,0,0,0
237,Spring,0,0,0,0
238,Summer,0,1,1,1
239,Summer,1,0,1,1
240,Spring,1,1,1,1
241,Spring,1,0,1,1
242,Summer,1,0,1,1
243,Spring,0,1,1,1
244,Spring,0,0,0,0
245,Spring,0,1,1,1
246,Spring,0,1,1,1
247,Summer,1,0,1,1
248,Summer,1,0,1,1
249,Spring,0,0,0,0
250,Spring,0,1,1,1
251,Spring,0,1,1,1
252,Summer,1,0,1,1
253,Summer,1,0,1,1
254,Summer,1,0,1,1
255,Spring,0,1,1,1
256,Spring,1,1,1,1
257,Summer,1,0,1,1
258,Summer,0,0,0,0
259,Spring,0,1,1,1
260,Summer,1,0,1,1
261,Spring,0,1,1,1
262,Summer,0,1,1,1
263,Spring,1,0,1,1
264,Summer,0,0,0,0
265,Summer,0,0,0,0
266,Summer,0,1,1,1
267,Summer,1,0,1,1
268,Spring,1,1,1,1
269,Spring,1,0,1,1
270,Summer,0,1,1,1
271,Summer,1,1,1,1
272,Spring,0,0,0,0
273,Summer,0,0,0,0
274,Summer,1,0,1,1
275,Summer,0,1,1,1
276,Spring,1,0,1,1
277,Spring,1,1,1,1
278,Summer,1,0,1,1
279,Summer,1,1,1,1
280,Spring,0,0,0,0
281,Spring,0,0,0,0
282,Spring,1,0,1,1
283,Spring,1,1,1,1
284,Spring,0,0,0,0
285,Spring,0,0,0,0
286,Summer,1,0,1,1
287,Summer,1,0,1,1
288,Spring,1,0,1,1
289,Spring,0,0,0,0
290,Spring,0,0,0,0
291,Spring,0,1,1,1
292,Spring,0,0,0,0
293,Summer,1,0,1,1
294,Spring,1,1,1,1
295,Summer,1,0,1,1
296,Spring,1,0,1,1
297,Summer,1,0,1,1
298,Summer,1,1,1,1
299,Summer,1,1,1,1
300,Summer,1,0,1,1
301,Spring,0,1,1,1
302,Spring,1,0,1,1
303,Spring,1,0,1,1
304,Spring,0,1,1,1
305,Spring,1,0,1,1
306,Summer,1,0,1,1
307,Spring,1,0,1,1
308,Summer,1,0,1,1
309,Summer,0,1,1,1
310,Summer,1,0,1,1
311,Summer,1,0,1,1
312,Summer,1,0,1,1
313,Summer,1,1,1,1
314,Spring,1,0,1,1
315,Spring,1,1,1,1
316,Summer,1,1,1,1
317,Spring,1,0,1,1
318,Summer,1,0,1,1
319,Summer,1,0,1,1
320,Spring,1,1,1,1
321,Summer,0,0,0,0
322,Summer,0,0,0,0
323,Spring,0,1,1,1
324,Summer,1,0,1,1
325,Spring,0,0,0,0
326,Spring,1,1,1,1
327,Spring,0,0,0,0
328,Spring,1,1,1,1
329,Summer,1,0,1,1
330,Spring,0,1,1,1
331,Spring,0,1,1,1
332,Summer,1,0,1,1
333,Spring,0,0,0,0
334,Spring,1,0,1,1
335,Summer,1,0,1,1
336,Spring,0,1,1,1
337,Summer,1,0,1,1
338,Spring,0,0,0,0
339,Summer,0,0,0,0
340,Spring,0,1,1,1
341,Summer,0,1,1,1
342,Spring,1,1,1,1
343,Spring,0,1,1,1
344,Summer,1,1,1,1
345,Summer,1,0,1,1
346,Spring,0,0,0,0
347,Spring,1,1,1,1
348,Spring,0,0,0,0
349,Summer,0,1,1,1
350,Summer,1,1,1,1
351,Spring,0,1,1,1
352,Spring,1,0,1,1
353,Summer,1,1,1,1
354,Summer,0,0,0,0
355,Summer,0,1,1,1
356,Spring,0,1,1,1
357,Spring,1,0,1,1
358,Summer,1,0,1,1
359,Summer,1,0,1,1
360,Summer,1,0,1,1
361,Spring,1,0,1,1
362,Summer,1,0,1,1
363,Summer,1,0,1,1
364,Spring,1,1,1,1
365,Spring,0,0,0,0
366,Spring,0,1,1,1
367,Spring,1,1,1,1
368,Summer,1,0,1,1
369,Summer,0,1,1,1
370,Spring,1,1,1,1
371,Summer,1,1,1,1
372,Summer,0,1,1,1
373,Summer,0,1,1,1
374,Summer,0,0,0,0
375,Spring,0,0,0,0
376,Summer,0,0,0,0
377,Summer,0,0,0,0
378,Spring,0,0,0,0
379,Summer,1,0,1,1
380,Summer,1,0,1,1
381,Spring,0,0,0,0
382,Summer,1,0,1,1
383,Spring,0,0,0,0
384,Summer,1,0,1,1
385,Spring,1,1,1,1
386,Summer,1,0,1,1
387,Spring,0,0,0,0
388,Spring,0,1,1,1
389,Spring,0,0,0,0
390,Summer,1,0,1,1
391,Spring,0,1,1,1
392,Spring,0,0,0,0
393,Spring,0,1,1,1
394,Spring,0,0,0,0
395,Summer,0,0,0,0
396,Spring,0,0,0,0
397,Spring,0,1,1,1
398,Summer,1,0,1,1
399,Summer,1,0,1,1
400,Spring,0,1,1,1
401,Spring,0,0,0,0
402,Spring,0,0,0,0
403,Summer,1,1,1,1
404,Summer,0,0,0,0
405,Summer,0,0,0,0
406,Spring,1,0,1,1
407,Spring,0,0,0,0
408,Summer,1,0,1,1
409,Spring,0,0,0,0
410,Spring,1,1,1,1
411,Spring,1,0,1,1
412,Summer,1,0,1,1
413,Spring,0,0,0,0
414,Summer,1,0,1,1
415,Spring,0,0,0,0
416,Summer,0,0,0,0
417,Spring,1,1,1,1
418,Spring,0,1,1,1
419,Spring,0,1,1,1
420,Summer,1,0,1,1
421,Spring,0,1,1,1
422,Summer,1,0,1,1
423,Summer,1,0,1,1
424,Summer,1,0,1,1
425,Summer,1,0,1,1
426,Spring,0,1,1,1
427,Summer,1,0,1,1
428,Spring,1,1,1,1
429,Summer,1,0,1,1
430,Spring,1,1,1,1
431,Spring,0,0,0,0
432,Spring,1,1,1,1
433,Spring,1,1,1,1
434,Summer,0,0,0,0
435,Summer,1,1,1,1
436,Summer,1,0,1,1
437,Spring,1,0,1,1
438,Summer,1,0,1,1
439,Spring,0,1,1,1
440,Spring,0,0,0,0
441,Summer,0,0,0,0
442,Summer,1,0,1,1
443,Spring,0,1,1,1
444,Spring,0,1,1,1
445,Spring,1,1,1,1
446,Summer,1,0,1,1
447,Summer,0,0,0,0
448,Spring,1,1,1,1
449,Summer,1,0,1,1
450,Summer,1,0,1,1
451,Spring,1,0,1,1
452,Summer,1,0,1,1
453,Summer,1,0,1,1
454,Spring,1,1,1,1
455,Spring,1,0,1,1
456,Spring,1,0,1,1
457,Spring,0,0,0,0
458,Summer,1,0,1,1
459,Summer,1,0,1,1
460,Summer,0,0,0,0
461,Summer,1,0,1,1
462,Spring,1,1,1,1
463,Spring,1,0,1,1
464,Summer,1,0,1,1
465,Summer,1,1,1,1
466,Summer,1,0,1,1
467,Spring,1,0,1,1
468,Summer,1,0,1,1
469,Summer,1,0,1,1
470,Summer,1,1,1,1
471,Summer,0,0,0,0
472,Summer,0,0,0,0
473,Spring,0,1,1,1
474,Spring,0,0,0,0
475,Summer,0,0,0,0
476,Summer,1,0,1,1
477,Summer,1,1,1,1
478,Summer,1,0,1,1
479,Summer,0,0,0,0
480,Summer,1,0,1,1
481,Summer,0,0,0,0
482,Summer,1,0,1,1
483,Summer,1,1,1,1
484,Spring,0,0,0,0
485,Summer,1,1,1,1
486,Spring,1,0,1,1
487,Summer,1,0,1,1
488,Summer,0,0,0,0
489,Summer,0,0,0,0
490,Summer,1,0,1,1
491,Summer,1,1,1,1
492,Spring,0,1,1,1
493,Summer,1,0,1,1
494,Summer,1,1,1,1
495,Spring,1,0,1,1
496,Summer,1,0,1,1
497,Summer,1,0,1,1
498,Summer,1,0,1,1
499,Spring,1,0,1,1
500,Summer,1,1,1,1
501,Spring,1,1,1,1
502,Spring,1,0,1,1
503,Summer,0,1,1,1
504,Spring,0,1,1,1
505,Summer,1,0,1,1
506,Summer,1,0,1,1
507,Summer,1,1,1,1
508,Summer,1,0,1,1
509,Spring,0,0,0,0
510,Spring,0,0,0,0
511,Spring,0,1,1,1
512,Summer,0,0,0,0
513,Spring,0,0,0,0
514,Spring,0,0,0,0
515,Spring,0,1,1,1
516,Spring,0,1,1,1
517,Spring,1,0,1,1
518,Spring,0,1,1,1
519,Summer,1,0,1,1
520,Summer,0,1,1,1
521,Summer,0,1,1,1
522,Summer,1,0,1,1
523,Spring,0,0,0,0
524,Spring,0,1,1,1
525,Summer,0,0,0,0
526,Spring,1,1,1,1
527,Spring,1,0,1,1
528,Spring,0,0,0,0
529,Spring,1,0,1,1
530,Spring,1,1,1,1
531,Spring,1,0,1,1
532,Spring,1,1,1,1
533,Summer,1,0,1,1
534,Spring,1,1,1,1
535,Summer,0,0,0,0
536,Summer,0,0,0,0
537,Summer,0,1,1,1
538,Spring,0,1,1,1
539,Summer,1,0,1,1
540,Summer,0,0,0,0
541,Spring,0,1,1,1
542,Spring,0,1,1,1
543,Spring,0,1,1,1
544,Spring,0,0,0,0
545,Spring,0,1,1,1
546,Summer,1,0,1,1
547,Spring,1,1,1,1
548,Summer,1,1,1,1
549,Summer,1,0,1,1
550,Summer,1,0,1,1
551,Spring,1,1,1,1
552,Spring,0,0,0,0
553,Summer,0,0,0,0
554,Summer,1,0,1,1
555,Summer,1,0,1,1
556,Summer,1,0,1,1
557,Spring,0,1,1,1
558,Summer,0,1,1,1
559,Summer,0,0,0,0
560,Summer,0,1,1,1
561,Summer,0,0,0,0
562,Summer,1,0,1,1
563,Summer,1,0,1,1
564,Spring,0,0,0,0
565,Summer,1,0,1,1
566,Spring,0,1,1,1
567,Spring,1,1,1,1
568,Summer,0,0,0,0
569,Spring,0,1,1,1
570,Spring,0,1,1,1
571,Summer,1,0,1,1
572,Summer,0,0,0,0
573,Summer,0,0,0,0
574,Summer,0,0,0,0
575,Spring,0,1,1,1
576,Summer,1,1,1,1
577,Summer,0,1,1,1
578,Spring,1,0,1,1
579,Summer,1,0,1,1
580,Spring,0,0,0,0
581,Spring,1,1,1,1
582,Spring,0,1,1,1
583,Spring,0,1,1,1
584,Summer,1,1,1,1
585,Spring,0,0,0,0
586,Spring,0,1,1,1
587,Spring,0,0,0,0
588,Summer,0,1,1,1
589,Summer,1,0,1,1
590,Summer,1,0,1,1
591,Spring,0,0,0,0
592,Summer,1,0,1,1
593,Summer,1,0,1,1
594,Summer,0,1,1,1
595,Spring,1,0,1,1
596,Spring,1,0,1,1
597,Spring,0,1,1,1
598,Summer,1,0,1,1
599,Spring,1,1,1,1
600,Summer,1,0,1,1
601,Spring,0,1,1,1
602,Spring,0,0,0,0
603,Spring,0,1,1,1
604,Summer,1,0,1,1
605,Summer,1,0,1,1
606,Spring,0,1,1,1
607,Spring,0,1,1,1
608,Spring,1,1,1,1
609,Spring,0,1,1,1
610,Summer,1,0,1,1
611,Summer,1,0,1,1
612,Summer,1,0,1,1
613,Spring,0,0,0,0
614,Spring,0,1,1,1
615,Spring,1,0,1,1
616,Summer,1,0,1,1
617,Spring,0,0,0,0
618,Spring,1,0,1,1
619,Summer,1,1,1,1
620,Spring,1,0,1,1
621,Spring,0,0,0,0
622,Spring,1,0,1,1
623,Spring,0,0,0,0
624,Summer,0,1,1,1
625,Spring,1,1,1,1
626,Spring,0,0,0,0
627,Summer,1,0,1,1
628,Summer,0,0,0,0
629,Spring,0,1,1,1
630,Spring,0,0,0,0
631,Spring,0,0,0,0
632,Summer,1,1,1,1
633,Summer,1,0,1,1
634,Spring,1,1,1,1
635,Spring,0,1,1,1
636,Spring,0,0,0,0
637,Summer,1,0,1,1
638,Spring,0,0,0,0
639,Spring,1,1,1,1
640,Summer,1,0,1,1
641,Summer,1,0,1,1
642,Summer,1,0,1,1
643,Summer,1,0,1,1
644,Spring,0,0,0,0
645,Spring,1,0,1,1
646,Summer,0,0,0,0
647,Summer,1,0,1,1
648,Spring,1,1,1,1
649,Summer,0,0,0,0
650,Summer,0,0,0,0
651,Summer,0,1,1,1
652,Spring,0,1,1,1
653,Spring,1,1,1,1
654,Spring,1,1,1,1
655,Spring,1,1,1,1
656,Summer,1,1,1,1
657,Spring,1,1,1,1
658,Spring,1,0,1,1
659,Spring,0,1,1,1
660,Spring,1,1,1,1
661,Summer,1,1,1,1
662,Spring,0,1,1,1
663,Summer,1,0,1,1
664,Summer,1,0,1,1
665,Spring,0,1,1,1
666,Summer,0,0,0,0
667,Spring,0,0,0,0
668,Spring,0,1,1,1
669,Spring,0,0,0,0
670,Spring,1,1,1,1
671,Summer,0,1,1,1
672,Spring,0,1,1,1
673,Summer,1,0,1,1
674,Summer,1,0,1,1
675,Spring,1,0,1,1
676,Spring,0,1,1,1
677,Spring,0,1,1,1
678,Spring,1,1,1,1
679,Spring,0,0,0,0
680,Summer,1,0,1,1
681,Spring,1,0,1,1
682,Spring,0,0,0,0
683,Spring,0,0,0,0
684,Summer,0,1,1,1
685,Summer,0,0,0,0
686,Summer,1,0,1,1
687,Summer,1,0,1,1
688,Spring,0,0,0,0
689,Summer,0,1,1,1
690,Summer,1,1,1,1
691,Spring,0,0,0,0
692,Summer,1,0,1,1
693,Summer,0,0,0,0
694,Spring,0,0,0,0
695,Summer,0,1,1,1
696,Summer,0,0,0,0
697,Summer,0,1,1,1
698,Summer,1,0,1,1
699,Summer,1,0,1,1
700,Spring,0,0,0,0
701,Spring,0,1,1,1
702,Summer,1,0,1,1
703,Summer,1,0,1,1
704,Spring,1,1,1,1
705,Summer,0,1,1,1
706,Summer,1,0,1,1
707,Summer,0,0,0,0
708,Summer,1,0,1,1
709,Spring,0,1,1,1
710,Spring,0,0,0,0
711,Summer,0,0,0,0
712,Summer,1,0,1,1
713,Summer,1,0,1,1
714,Summer,1,1,1,1
715,Summer,1,1,1,1
716,Summer,1,1,1,1
717,Spring,1,0,1,1
718,Spring,1,0,1,1
719,Spring,0,0,0,0
720,Summer,1,0,1,1
721,Summer,1,0,1,1
722,Summer,1,1,1,1
723,Summer,1,0,1,1
724,Summer,0,0,0,0
725,Spring,0,1,1,1
726,Summer,1,0,1,1
727,Spring,1,1,1,1
728,Spring,0,0,0,0
729,Summer,1,0,1,1
730,Summer,1,0,1,1
731,Summer,0,0,0,0
732,Summer,1,0,1,1
733,Summer,0,0,0,0
734,Summer,1,0,1,1
735,Spring,0,0,0,0
736,Summer,0,1,1,1
737,Spring,0,0,0,0
738,Spring,0,0,0,0
739,Spring,0,1,1,1
740,Summer,0,1,1,1
741,Spring,0,1,1,1
742,Spring,1,1,1,1
743,Spring,0,0,0,0
744,Spring,0,1,1,1
745,Spring,1,0,1,1
746,Summer,0,0,0,0
747,Summer,0,1,1,1
748,Summer,0,1,1,1
749,Spring,1,0,1,1
750,Summer,1,0,1,1
751,Summer,1,0,1,1
752,Summer,1,0,1,1
753,Spring,1,0,1,1
754,Spring,0,0,0,0
755,Summer,1,0,1,1
756,Summer,1,0,1,1
757,Spring,1,1,1,1
758,Summer,1,0,1,1
759,Spring,1,1,1,1
760,Spring,1,0,1,1
761,Spring,0,0,0,0
762,Summer,0,0,0,0
763,Summer,1,0,1,1
764,Summer,1,0,1,1
765,Summer,1,0,1,1
766,Summer,1,1,1,1
767,Spring,0,1,1,1
768,Spring,0,0,0,0
769,Spring,0,0,0,0
770,Summer,0,1,1,1
771,Summer,0,0,0,0
772,Spring,0,1,1,1
773,Summer,1,0,1,1
774,Spring,0,0,0,0
775,Summer,1,1,1,1
776,Summer,1,0,1,1
777,Summer,0,0,0,0
778,Spring,1,1,1,1
779,Spring,1,1,1,1
780,Summer,1,1,1,1
781,Summer,0,0,0,0
782,Spring,1,0,1,1
783,Spring,1,1,1,1
784,Spring,0,1,1,1
785,Summer,1,0,1,1
786,Spring,1,0,1,1
787,Summer,1,0,1,1
788,Summer,1,0,1,1
789,Summer,1,0,1,1
790,Summer,1,0,1,1
791,Summer,1,0,1,1
792,Spring,0,1,1,1
793,Summer,1,0,1,1
794,Spring,1,1,1,1
795,Spring,0,0,0,0
796,Summer,1,0,1,1
797,Summer,1,1,1,1
798,Spring,0,0,0,0
799,Spring,0,0,0,0
800,Spring,0,1,1,1
801,Summer,1,1,1,1
802,Summer,0,1,1,1
803,Spring,1,0,1,1
804,Spring,1,1,1,1
805,Spring,0,1,1,1
806,Spring,0,1,1,1
807,Spring,0,0,0,0
808,Spring,0,1,1,1
809,Summer,1,1,1,1
810,Summer,1,0,1,1
811,Summer,1,0,1,1
812,Summer,0,0,0,0
813,Summer,0,0,0,0
814,Summer,1,0,1,1
815,Spring,0,0,0,0
816,Spring,0,0,0,0
817,Summer,0,0,0,0
818,Summer,1,0,1,1
819,Summer,0,0,0,0
820,Summer,0,0,0,0
821,Summer,1,0,1,1
822,Spring,1,0,1,1
823,Spring,1,1,1,1
824,Summer,0,0,0,0
825,Summer,1,0,1,1
826,Summer,1,0,1,1
827,Spring,0,0,0,0
828,Summer,0,0,0,0
829,Summer,1,1,1,1
830,Spring,0,1,1,1
831,Spring,0,1,1,1
832,Spring,0,1,1,1
833,Spring,1,1,1,1
834,Spring,1,1,1,1
835,Spring,1,1,1,1
836,Summer,0,0,0,0
837,Summer,1,0,1,1
838,Summer,0,0,0,0
839,Summer,1,0,1,1
840,Spring,1,1,1,1
841,Summer,1,0,1,1
842,Spring,0,1,1,1
843,Summer,1,0,1,1
844,Summer,1,0,1,1
845,Summer,1,0,1,1
846,Spring,0,1,1,1
847,Summer,1,0,1,1
848,Spring,1,1,1,1
849,Summer,0,0,0,0
850,Spring,0,1,1,1
851,Summer,1,0,1,1
852,Summer,1,0,1,1
853,Spring,0,1,1,1
854,Spring,0,1,1,1
855,Summer,0,0,0,0
856,Spring,1,1,1,1
857,Summer,0,0,0,0
858,Spring,1,1,1,1
859,Spring,0,0,0,0
860,Spring,0,1,1,1
861,Summer,1,0,1,1
862,Spring,1,1,1,1
863,Summer,1,0,1,1
864,Spring,0,0,0,0
865,Spring,0,1,1,1
866,Summer,1,0,1,1
867,Spring,1,0,1,1
868,Summer,1,0,1,1
869,Spring,0,0,0,0
870,Summer,1,0,1,1
871,Spring,0,0,0,0
872,Summer,0,0,0,0
873,Spring,1,1,1,1
874,Summer,1,0,1,1
875,Summer,1,0,1,1
876,Spring,1,0,1,1
877,Summer,1,0,1,1
878,Spring,0,0,0,0
879,Spring,1,1,1,1
880,Summer,1,1,1,1
881,Summer,0,0,0,0
882,Spring,0,1,1,1
883,Spring,0,0,0,0
884,Spring,0,0,0,0
885,Spring,0,1,1,1
886,Summer,1,0,1,1
887,Summer,1,0,1,1
888,Spring,1,0,1,1
889,Summer,1,0,1,1
890,Spring,1,0,1,1
891,Spring,0,0,0,0
892,Summer,1,0,1,1
893,Summer,1,1,1,1
894,Summer,1,0,1,1
895,Summer,1,1,1,1
896,Spring,0,0,0,0
897,Spring,1,1,1,1
898,Spring,0,0,0,0
899,Spring,1,1,1,1
900,Spring,1,0,1,1
901,Spring,0,0,0,0
902,Summer,0,0,0,0
903,Spring,1,1,1,1
904,Spring,1,0,1,1
905,Summer,1,0,1,1
906,Summer,1,0,1,1
907,Spring,0,0,0,0
908,Spring,1,1,1,1
909,Summer,1,0,1,1
910,Summer,1,0,1,1
911,Spring,0,1,1,1
912,Spring,0,1,1,1
913,Spring,1,0,1,1
914,Spring,1,0,1,1
915,Summer,1,0,1,1
916,Spring,0,1,1,1
917,Spring,0,1,1,1
918,Summer,1,0,1,1
919,Spring,0,0,0,0
920,Summer,1,0,1,1
921,Summer,1,1,1,1
922,Summer,1,0,1,1
923,Summer,0,1,1,1
924,Spring,0,0,0,0
925,Summer,1,0,1,1
926,Summer,0,0,0,0
927,Spring,1,1,1,1
928,Spring,1,1,1,1
929,Summer,0,0,0,0
930,Summer,1,1,1,1
931,Spring,0,1,1,1
932,Spring,1,1,1,1
933,Summer,0,0,0,0
934,Summer,1,1,1,1
935,Spring,0,1,1,1
936,Summer,1,1,1,1
937,Summer,1,1,1,1
938,Summer,0,1,1,1
939,Summer,1,1,1,1
940,Spring,1,1,1,1
941,Spring,0,1,1,1
942,Spring,1,1,1,1
943,Summer,0,0,0,0
944,Summer,1,0,1,1
945,Spring,1,0,1,1
946,Spring,0,0,0,0
947,Summer,1,0,1,1
948,Spring,0,0,0,0
949,Spring,0,0,0,0
950,Summer,1,0,1,1
951,Summer,1,1,1,1
952,Spring,0,0,0,0
953,Spring,0,1,1,1
954,Summer,1,0,1,1
955,Summer,0,0,0,0
956,Spring,1,0,1,1
957,Summer,1,1,1,1
958,Spring,1,0,1,1
959,Summer,1,0,1,1
960,Spring,1,1,1,1
961,Summer,1,0,1,1
962,Spring,1,1,1,1
963,Summer,1,0,1,1
964,Summer,1,1,1,1
965,Spring,1,1,1,1
966,Summer,1,1,1,1
967,Summer,1,0,1,1
968,Summer,0,1,1,1
969,Spring,1,0,1,1
970,Summer,1,0,1,1
971,Spring,1,0,1,1
972,Spring,0,0,0,0
973,Spring,1,1,1,1
974,Spring,0,0,0,0
975,Spring,1,0,1,1
976,Summer,1,1,1,1
977,Spring,0,1,1,1
978,Spring,1,1,1,1
979,Spring,0,1,1,1
980,Summer,0,0,0,0
981,Spring,0,0,0,0
982,Spring,0,0,0,0
983,Spring,0,1,1,1
984,Spring,0,1,1,1
985,Spring,1,1,1,1
986,Summer,1,0,1,1
987,Spring,1,1,1,1
988,Summer,1,0,1,1
989,Spring,0,0,0,0
990,Summer,0,0,0,0
991,Spring,0,1,1,1
992,Summer,0,1,1,1
993,Summer,1,0,1,1
994,Spring,1,1,1,1
995,Summer,1,0,1,1
